GID	Pathway	Pathway_Name	Pathway_Class
MD04G1016000	ko05230	Central carbon metabolism in cancer	Human Diseases
MD04G1018700	ko00061	Fatty acid biosynthesis	Metabolism
MD04G1018700	ko00071	Fatty acid degradation	Metabolism
MD04G1018700	ko04146	Peroxisome	Cellular Processes
MD04G1018700	ko04216	Ferroptosis	Cellular Processes
MD04G1018700	ko02024	Quorum sensing	Cellular Processes
MD04G1018700	ko04920	Adipocytokine signaling pathway	Organismal Systems
MD04G1018700	ko03320	PPAR signaling pathway	Organismal Systems
MD04G1018700	ko04714	Thermogenesis	Organismal Systems
MD04G1018900	ko00061	Fatty acid biosynthesis	Metabolism
MD04G1018900	ko00071	Fatty acid degradation	Metabolism
MD04G1018900	ko04146	Peroxisome	Cellular Processes
MD04G1018900	ko04216	Ferroptosis	Cellular Processes
MD04G1018900	ko02024	Quorum sensing	Cellular Processes
MD04G1018900	ko04920	Adipocytokine signaling pathway	Organismal Systems
MD04G1018900	ko03320	PPAR signaling pathway	Organismal Systems
MD04G1018900	ko04714	Thermogenesis	Organismal Systems
MD04G1019300	ko00942	Anthocyanin biosynthesis	Metabolism
MD04G1019400	ko00942	Anthocyanin biosynthesis	Metabolism
MD04G1019500	ko00942	Anthocyanin biosynthesis	Metabolism
MD04G1019600	ko00942	Anthocyanin biosynthesis	Metabolism
MD04G1019700	ko00942	Anthocyanin biosynthesis	Metabolism
MD04G1020300	ko00350	Tyrosine metabolism	Metabolism
MD04G1020900	ko05202	Transcriptional misregulation in cancer	Human Diseases
MD04G1021900	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1021900	ko04110	Cell cycle	Cellular Processes
MD04G1021900	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1021900	ko04113	Meiosis - yeast	Cellular Processes
MD04G1021900	ko04114	Oocyte meiosis	Cellular Processes
MD04G1021900	ko05203	Viral carcinogenesis	Human Diseases
MD04G1021900	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD04G1022100	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1022300	ko00230	Purine metabolism	Metabolism
MD04G1022400	ko04915	Estrogen signaling pathway	Organismal Systems
MD04G1023100	ko03010	Ribosome	Genetic Information Processing
MD04G1023200	ko04970	Salivary secretion	Organismal Systems
MD04G1023600	ko03440	Homologous recombination	Genetic Information Processing
MD04G1023600	ko03460	Fanconi anemia pathway	Genetic Information Processing
MD04G1023800	ko00906	Carotenoid biosynthesis	Metabolism
MD04G1023900	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism
MD04G1024300	ko04142	Lysosome	Cellular Processes
MD04G1024300	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1024500	ko04142	Lysosome	Cellular Processes
MD04G1024500	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1024700	ko04142	Lysosome	Cellular Processes
MD04G1024700	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1024800	ko00240	Pyrimidine metabolism	Metabolism
MD04G1024900	ko04142	Lysosome	Cellular Processes
MD04G1024900	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1025000	ko04142	Lysosome	Cellular Processes
MD04G1025000	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1025100	ko00240	Pyrimidine metabolism	Metabolism
MD04G1025200	ko04142	Lysosome	Cellular Processes
MD04G1025200	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1025300	ko00240	Pyrimidine metabolism	Metabolism
MD04G1025800	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems
MD04G1025800	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD04G1027700	ko03013	RNA transport	Genetic Information Processing
MD04G1027700	ko05162	Measles	Human Diseases
MD04G1027800	ko04727	GABAergic synapse	Organismal Systems
MD04G1027800	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD04G1027800	ko04721	Synaptic vesicle cycle	Organismal Systems
MD04G1027800	ko05032	Morphine addiction	Human Diseases
MD04G1027800	ko05033	Nicotine addiction	Human Diseases
MD04G1028100	ko00906	Carotenoid biosynthesis	Metabolism
MD04G1028900	ko00040	Pentose and glucuronate interconversions	Metabolism
MD04G1029100	ko00040	Pentose and glucuronate interconversions	Metabolism
MD04G1029600	ko00040	Pentose and glucuronate interconversions	Metabolism
MD04G1030100	ko00040	Pentose and glucuronate interconversions	Metabolism
MD04G1030700	ko00330	Arginine and proline metabolism	Metabolism
MD04G1030900	ko05014	Amyotrophic lateral sclerosis (ALS)	Human Diseases
MD04G1031100	ko04144	Endocytosis	Cellular Processes
MD04G1032200	ko00195	Photosynthesis	Metabolism
MD04G1033100	ko03010	Ribosome	Genetic Information Processing
MD04G1033200	ko04144	Endocytosis	Cellular Processes
MD04G1033200	ko04972	Pancreatic secretion	Organismal Systems
MD04G1033200	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems
MD04G1033200	ko04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems
MD04G1033800	ko00480	Glutathione metabolism	Metabolism
MD04G1033800	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD04G1033800	ko00982	Drug metabolism - cytochrome P450	Metabolism
MD04G1033800	ko00983	Drug metabolism - other enzymes	Metabolism
MD04G1033800	ko05200	Pathways in cancer	Human Diseases
MD04G1033800	ko05204	Chemical carcinogenesis	Human Diseases
MD04G1033800	ko05225	Hepatocellular carcinoma	Human Diseases
MD04G1033800	ko05418	Fluid shear stress and atherosclerosis	Human Diseases
MD04G1033800	ko01524	Platinum drug resistance	Human Diseases
MD04G1034100	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD04G1034400	ko00590	Arachidonic acid metabolism	Metabolism
MD04G1034400	ko00480	Glutathione metabolism	Metabolism
MD04G1034400	ko04918	Thyroid hormone synthesis	Organismal Systems
MD04G1034900	ko04014	Ras signaling pathway	Environmental Information Processing
MD04G1036600	ko04014	Ras signaling pathway	Environmental Information Processing
MD04G1036600	ko04015	Rap1 signaling pathway	Environmental Information Processing
MD04G1036600	ko04016	MAPK signaling pathway - plant	Environmental Information Processing
MD04G1036600	ko04371	Apelin signaling pathway	Environmental Information Processing
MD04G1036600	ko04020	Calcium signaling pathway	Environmental Information Processing
MD04G1036600	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD04G1036600	ko04024	cAMP signaling pathway	Environmental Information Processing
MD04G1036600	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD04G1036600	ko04114	Oocyte meiosis	Cellular Processes
MD04G1036600	ko04218	Cellular senescence	Cellular Processes
MD04G1036600	ko04625	C-type lectin receptor signaling pathway	Organismal Systems
MD04G1036600	ko04910	Insulin signaling pathway	Organismal Systems
MD04G1036600	ko04922	Glucagon signaling pathway	Organismal Systems
MD04G1036600	ko04912	GnRH signaling pathway	Organismal Systems
MD04G1036600	ko04915	Estrogen signaling pathway	Organismal Systems
MD04G1036600	ko04921	Oxytocin signaling pathway	Organismal Systems
MD04G1036600	ko04916	Melanogenesis	Organismal Systems
MD04G1036600	ko04924	Renin secretion	Organismal Systems
MD04G1036600	ko04925	Aldosterone synthesis and secretion	Organismal Systems
MD04G1036600	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems
MD04G1036600	ko04270	Vascular smooth muscle contraction	Organismal Systems
MD04G1036600	ko04970	Salivary secretion	Organismal Systems
MD04G1036600	ko04971	Gastric acid secretion	Organismal Systems
MD04G1036600	ko04728	Dopaminergic synapse	Organismal Systems
MD04G1036600	ko04720	Long-term potentiation	Organismal Systems
MD04G1036600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD04G1036600	ko04744	Phototransduction	Organismal Systems
MD04G1036600	ko04745	Phototransduction - fly	Organismal Systems
MD04G1036600	ko04740	Olfactory transduction	Organismal Systems
MD04G1036600	ko04750	Inflammatory mediator regulation of TRP channels	Organismal Systems
MD04G1036600	ko04713	Circadian entrainment	Organismal Systems
MD04G1036600	ko04626	Plant-pathogen interaction	Organismal Systems
MD04G1036600	ko05200	Pathways in cancer	Human Diseases
MD04G1036600	ko05214	Glioma	Human Diseases
MD04G1036600	ko05010	Alzheimer disease	Human Diseases
MD04G1036600	ko05031	Amphetamine addiction	Human Diseases
MD04G1036600	ko05034	Alcoholism	Human Diseases
MD04G1036600	ko05418	Fluid shear stress and atherosclerosis	Human Diseases
MD04G1036600	ko05133	Pertussis	Human Diseases
MD04G1036600	ko05152	Tuberculosis	Human Diseases
MD04G1036600	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1036600	ko05163	Human cytomegalovirus infection	Human Diseases
MD04G1036600	ko05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases
MD04G1037200	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD04G1037300	ko00780	Biotin metabolism	Metabolism
MD04G1038300	ko03013	RNA transport	Genetic Information Processing
MD04G1038400	ko03013	RNA transport	Genetic Information Processing
MD04G1038500	ko04626	Plant-pathogen interaction	Organismal Systems
MD04G1038700	ko04144	Endocytosis	Cellular Processes
MD04G1038800	ko04020	Calcium signaling pathway	Environmental Information Processing
MD04G1038800	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD04G1038800	ko04972	Pancreatic secretion	Organismal Systems
MD04G1038800	ko05010	Alzheimer disease	Human Diseases
MD04G1038900	ko04020	Calcium signaling pathway	Environmental Information Processing
MD04G1038900	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD04G1038900	ko04972	Pancreatic secretion	Organismal Systems
MD04G1038900	ko05010	Alzheimer disease	Human Diseases
MD04G1039300	ko00062	Fatty acid elongation	Metabolism
MD04G1039300	ko01040	Biosynthesis of unsaturated fatty acids	Metabolism
MD04G1039500	ko04330	Notch signaling pathway	Environmental Information Processing
MD04G1039500	ko05010	Alzheimer disease	Human Diseases
MD04G1040400	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1040400	ko04140	Autophagy - animal	Cellular Processes
MD04G1040400	ko04138	Autophagy - yeast	Cellular Processes
MD04G1040400	ko05162	Measles	Human Diseases
MD04G1040400	ko05164	Influenza A	Human Diseases
MD04G1040400	ko05160	Hepatitis C	Human Diseases
MD04G1040400	ko05168	Herpes simplex infection	Human Diseases
MD04G1041000	ko03030	DNA replication	Genetic Information Processing
MD04G1041000	ko03420	Nucleotide excision repair	Genetic Information Processing
MD04G1041000	ko03430	Mismatch repair	Genetic Information Processing
MD04G1041300	ko03030	DNA replication	Genetic Information Processing
MD04G1041300	ko03420	Nucleotide excision repair	Genetic Information Processing
MD04G1041300	ko03430	Mismatch repair	Genetic Information Processing
MD04G1041400	ko04626	Plant-pathogen interaction	Organismal Systems
MD04G1041500	ko04014	Ras signaling pathway	Environmental Information Processing
MD04G1041600	ko04010	MAPK signaling pathway	Environmental Information Processing
MD04G1041600	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD04G1041600	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD04G1041600	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD04G1041600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD04G1041600	ko05133	Pertussis	Human Diseases
MD04G1041600	ko05152	Tuberculosis	Human Diseases
MD04G1041600	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1041600	ko05162	Measles	Human Diseases
MD04G1041600	ko05169	Epstein-Barr virus infection	Human Diseases
MD04G1041600	ko05145	Toxoplasmosis	Human Diseases
MD04G1041600	ko05140	Leishmaniasis	Human Diseases
MD04G1041600	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD04G1041700	ko03010	Ribosome	Genetic Information Processing
MD04G1042400	ko00051	Fructose and mannose metabolism	Metabolism
MD04G1042400	ko00500	Starch and sucrose metabolism	Metabolism
MD04G1042400	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1043000	ko00230	Purine metabolism	Metabolism
MD04G1043000	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism
MD04G1043400	ko00230	Purine metabolism	Metabolism
MD04G1043400	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism
MD04G1044600	ko03010	Ribosome	Genetic Information Processing
MD04G1045100	ko00100	Steroid biosynthesis	Metabolism
MD04G1045200	ko00620	Pyruvate metabolism	Metabolism
MD04G1045300	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1045300	ko04145	Phagosome	Cellular Processes
MD04G1045300	ko04612	Antigen processing and presentation	Organismal Systems
MD04G1045300	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD04G1045300	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1045300	ko05163	Human cytomegalovirus infection	Human Diseases
MD04G1045300	ko05169	Epstein-Barr virus infection	Human Diseases
MD04G1045300	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD04G1045800	ko00240	Pyrimidine metabolism	Metabolism
MD04G1045800	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism
MD04G1045900	ko03010	Ribosome	Genetic Information Processing
MD04G1046400	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD04G1046600	ko04122	Sulfur relay system	Genetic Information Processing
MD04G1046700	ko04146	Peroxisome	Cellular Processes
MD04G1047200	ko04622	RIG-I-like receptor signaling pathway	Organismal Systems
MD04G1047300	ko03022	Basal transcription factors	Genetic Information Processing
MD04G1047700	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1048000	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1048100	ko03040	Spliceosome	Genetic Information Processing
MD04G1048200	ko00061	Fatty acid biosynthesis	Metabolism
MD04G1048200	ko01040	Biosynthesis of unsaturated fatty acids	Metabolism
MD04G1048300	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1049900	ko05202	Transcriptional misregulation in cancer	Human Diseases
MD04G1050400	ko05134	Legionellosis	Human Diseases
MD04G1051500	ko03010	Ribosome	Genetic Information Processing
MD04G1051700	ko04110	Cell cycle	Cellular Processes
MD04G1051700	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1051700	ko04113	Meiosis - yeast	Cellular Processes
MD04G1052200	ko03010	Ribosome	Genetic Information Processing
MD04G1052400	ko00310	Lysine degradation	Metabolism
MD04G1052400	ko04211	Longevity regulating pathway	Organismal Systems
MD04G1052700	ko04112	Cell cycle - Caulobacter	Cellular Processes
MD04G1052700	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD04G1052800	ko04152	AMPK signaling pathway	Environmental Information Processing
MD04G1052800	ko04920	Adipocytokine signaling pathway	Organismal Systems
MD04G1052800	ko04211	Longevity regulating pathway	Organismal Systems
MD04G1052800	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1053000	ko04152	AMPK signaling pathway	Environmental Information Processing
MD04G1053000	ko04920	Adipocytokine signaling pathway	Organismal Systems
MD04G1053000	ko04211	Longevity regulating pathway	Organismal Systems
MD04G1053000	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1053200	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD04G1053200	ko00030	Pentose phosphate pathway	Metabolism
MD04G1053200	ko00051	Fructose and mannose metabolism	Metabolism
MD04G1053200	ko00710	Carbon fixation in photosynthetic organisms	Metabolism
MD04G1053200	ko00680	Methane metabolism	Metabolism
MD04G1053300	ko00230	Purine metabolism	Metabolism
MD04G1053300	ko00240	Pyrimidine metabolism	Metabolism
MD04G1053300	ko03020	RNA polymerase	Genetic Information Processing
MD04G1053300	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems
MD04G1053300	ko05016	Huntington disease	Human Diseases
MD04G1053800	ko03440	Homologous recombination	Genetic Information Processing
MD04G1053900	ko03010	Ribosome	Genetic Information Processing
MD04G1053900	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing
MD04G1054100	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing
MD04G1054100	ko04310	Wnt signaling pathway	Environmental Information Processing
MD04G1054100	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD04G1054100	ko04137	Mitophagy - animal	Cellular Processes
MD04G1054100	ko04139	Mitophagy - yeast	Cellular Processes
MD04G1054100	ko04520	Adherens junction	Cellular Processes
MD04G1054100	ko04712	Circadian rhythm - plant	Organismal Systems
MD04G1054100	ko05162	Measles	Human Diseases
MD04G1054100	ko05168	Herpes simplex infection	Human Diseases
MD04G1054400	ko04016	MAPK signaling pathway - plant	Environmental Information Processing
MD04G1054400	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD04G1054800	ko03420	Nucleotide excision repair	Genetic Information Processing
MD04G1054800	ko03460	Fanconi anemia pathway	Genetic Information Processing
MD04G1054800	ko00902	Monoterpenoid biosynthesis	Metabolism
MD04G1055100	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism
MD04G1055100	ko02024	Quorum sensing	Cellular Processes
MD04G1055500	ko00230	Purine metabolism	Metabolism
MD04G1055700	ko00910	Nitrogen metabolism	Metabolism
MD04G1055700	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism
MD04G1055700	ko00220	Arginine biosynthesis	Metabolism
MD04G1055700	ko00471	D-Glutamine and D-glutamate metabolism	Metabolism
MD04G1055700	ko04217	Necroptosis	Cellular Processes
MD04G1055700	ko04964	Proximal tubule bicarbonate reclamation	Organismal Systems
MD04G1056200	ko00500	Starch and sucrose metabolism	Metabolism
MD04G1057400	ko00280	Valine, leucine and isoleucine degradation	Metabolism
MD04G1058300	ko00190	Oxidative phosphorylation	Metabolism
MD04G1059100	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1059100	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1059100	ko04310	Wnt signaling pathway	Environmental Information Processing
MD04G1059100	ko04340	Hedgehog signaling pathway	Environmental Information Processing
MD04G1059100	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing
MD04G1059100	ko04350	TGF-beta signaling pathway	Environmental Information Processing
MD04G1059100	ko04110	Cell cycle	Cellular Processes
MD04G1059100	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1059100	ko04114	Oocyte meiosis	Cellular Processes
MD04G1059100	ko04710	Circadian rhythm	Organismal Systems
MD04G1059100	ko05200	Pathways in cancer	Human Diseases
MD04G1059100	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1059100	ko05168	Herpes simplex infection	Human Diseases
MD04G1059100	ko00190	Oxidative phosphorylation	Metabolism
MD04G1059100	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD04G1059100	ko04714	Thermogenesis	Organismal Systems
MD04G1059100	ko05010	Alzheimer disease	Human Diseases
MD04G1059100	ko05012	Parkinson disease	Human Diseases
MD04G1059100	ko05016	Huntington disease	Human Diseases
MD04G1059100	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1059200	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1059200	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1059200	ko04310	Wnt signaling pathway	Environmental Information Processing
MD04G1059200	ko04340	Hedgehog signaling pathway	Environmental Information Processing
MD04G1059200	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing
MD04G1059200	ko04350	TGF-beta signaling pathway	Environmental Information Processing
MD04G1059200	ko04110	Cell cycle	Cellular Processes
MD04G1059200	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1059200	ko04114	Oocyte meiosis	Cellular Processes
MD04G1059200	ko04710	Circadian rhythm	Organismal Systems
MD04G1059200	ko05200	Pathways in cancer	Human Diseases
MD04G1059200	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1059200	ko05168	Herpes simplex infection	Human Diseases
MD04G1059200	ko00190	Oxidative phosphorylation	Metabolism
MD04G1059200	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD04G1059200	ko04714	Thermogenesis	Organismal Systems
MD04G1059200	ko05010	Alzheimer disease	Human Diseases
MD04G1059200	ko05012	Parkinson disease	Human Diseases
MD04G1059200	ko05016	Huntington disease	Human Diseases
MD04G1059200	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1059400	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1059400	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1059400	ko04310	Wnt signaling pathway	Environmental Information Processing
MD04G1059400	ko04340	Hedgehog signaling pathway	Environmental Information Processing
MD04G1059400	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing
MD04G1059400	ko04350	TGF-beta signaling pathway	Environmental Information Processing
MD04G1059400	ko04110	Cell cycle	Cellular Processes
MD04G1059400	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1059400	ko04114	Oocyte meiosis	Cellular Processes
MD04G1059400	ko04710	Circadian rhythm	Organismal Systems
MD04G1059400	ko05200	Pathways in cancer	Human Diseases
MD04G1059400	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1059400	ko05168	Herpes simplex infection	Human Diseases
MD04G1059400	ko00190	Oxidative phosphorylation	Metabolism
MD04G1059400	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD04G1059400	ko04714	Thermogenesis	Organismal Systems
MD04G1059400	ko05010	Alzheimer disease	Human Diseases
MD04G1059400	ko05012	Parkinson disease	Human Diseases
MD04G1059400	ko05016	Huntington disease	Human Diseases
MD04G1059400	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1059700	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD04G1059700	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1059700	ko04310	Wnt signaling pathway	Environmental Information Processing
MD04G1059700	ko04340	Hedgehog signaling pathway	Environmental Information Processing
MD04G1059700	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing
MD04G1059700	ko04350	TGF-beta signaling pathway	Environmental Information Processing
MD04G1059700	ko04110	Cell cycle	Cellular Processes
MD04G1059700	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1059700	ko04114	Oocyte meiosis	Cellular Processes
MD04G1059700	ko04710	Circadian rhythm	Organismal Systems
MD04G1059700	ko05200	Pathways in cancer	Human Diseases
MD04G1059700	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD04G1059700	ko05168	Herpes simplex infection	Human Diseases
MD04G1059700	ko00190	Oxidative phosphorylation	Metabolism
MD04G1059700	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD04G1059700	ko04714	Thermogenesis	Organismal Systems
MD04G1059700	ko05010	Alzheimer disease	Human Diseases
MD04G1059700	ko05012	Parkinson disease	Human Diseases
MD04G1059700	ko05016	Huntington disease	Human Diseases
MD04G1059700	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD04G1060200	ko00600	Sphingolipid metabolism	Metabolism
MD04G1060300	ko00600	Sphingolipid metabolism	Metabolism
MD04G1060500	ko00071	Fatty acid degradation	Metabolism
MD04G1060500	ko00592	alpha-Linolenic acid metabolism	Metabolism
MD04G1060500	ko01040	Biosynthesis of unsaturated fatty acids	Metabolism
MD04G1060500	ko04024	cAMP signaling pathway	Environmental Information Processing
MD04G1060500	ko04146	Peroxisome	Cellular Processes
MD04G1060500	ko03320	PPAR signaling pathway	Organismal Systems
MD04G1061600	ko00062	Fatty acid elongation	Metabolism
MD04G1061600	ko04142	Lysosome	Cellular Processes
MD04G1062000	ko03010	Ribosome	Genetic Information Processing
MD04G1062100	ko00660	C5-Branched dibasic acid metabolism	Metabolism
MD04G1062100	ko00290	Valine, leucine and isoleucine biosynthesis	Metabolism
MD04G1062600	ko00240	Pyrimidine metabolism	Metabolism
MD04G1062600	ko00983	Drug metabolism - other enzymes	Metabolism
MD04G1064500	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD04G1064600	ko00052	Galactose metabolism	Metabolism
MD04G1064600	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1065200	ko03030	DNA replication	Genetic Information Processing
MD04G1065200	ko03420	Nucleotide excision repair	Genetic Information Processing
MD04G1065200	ko03430	Mismatch repair	Genetic Information Processing
MD04G1065300	ko03010	Ribosome	Genetic Information Processing
MD04G1066300	ko00830	Retinol metabolism	Metabolism
MD04G1066400	ko00830	Retinol metabolism	Metabolism
MD04G1066500	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism
MD04G1067300	ko00561	Glycerolipid metabolism	Metabolism
MD04G1067300	ko00564	Glycerophospholipid metabolism	Metabolism
MD04G1067300	ko00565	Ether lipid metabolism	Metabolism
MD04G1068600	ko03013	RNA transport	Genetic Information Processing
MD04G1068700	ko04626	Plant-pathogen interaction	Organismal Systems
MD04G1068700	ko05145	Toxoplasmosis	Human Diseases
MD04G1069000	ko00260	Glycine, serine and threonine metabolism	Metabolism
MD04G1069200	ko00650	Butanoate metabolism	Metabolism
MD04G1069200	ko00072	Synthesis and degradation of ketone bodies	Metabolism
MD04G1069200	ko00280	Valine, leucine and isoleucine degradation	Metabolism
MD04G1069200	ko00900	Terpenoid backbone biosynthesis	Metabolism
MD04G1069500	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD04G1069500	ko00523	Polyketide sugar unit biosynthesis	Metabolism
MD04G1069600	ko00564	Glycerophospholipid metabolism	Metabolism
MD04G1069600	ko00565	Ether lipid metabolism	Metabolism
MD04G1069600	ko04014	Ras signaling pathway	Environmental Information Processing
MD04G1069600	ko04072	Phospholipase D signaling pathway	Environmental Information Processing
MD04G1069600	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD04G1069600	ko04024	cAMP signaling pathway	Environmental Information Processing
MD04G1069600	ko04144	Endocytosis	Cellular Processes
MD04G1069600	ko04666	Fc gamma R-mediated phagocytosis	Organismal Systems
MD04G1069600	ko04912	GnRH signaling pathway	Organismal Systems
MD04G1069600	ko04928	Parathyroid hormone synthesis, secretion and action	Organismal Systems
MD04G1069600	ko04724	Glutamatergic synapse	Organismal Systems
MD04G1069600	ko05231	Choline metabolism in cancer	Human Diseases
MD04G1070400	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD04G1070400	ko04110	Cell cycle	Cellular Processes
MD04G1070400	ko04111	Cell cycle - yeast	Cellular Processes
MD04G1070400	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems
MD04G1070900	ko03013	RNA transport	Genetic Information Processing
MD04G1070900	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD04G1072900	ko05014	Amyotrophic lateral sclerosis (ALS)	Human Diseases
MD04G1073000	ko00051	Fructose and mannose metabolism	Metabolism
MD04G1073000	ko00500	Starch and sucrose metabolism	Metabolism
MD04G1073000	ko00230	Purine metabolism	Metabolism
MD04G1077000	ko04144	Endocytosis	Cellular Processes
MD04G1077000	ko04728	Dopaminergic synapse	Organismal Systems
MD04G1077600	ko04112	Cell cycle - Caulobacter	Cellular Processes
MD04G1077600	ko04212	Longevity regulating pathway - worm	Organismal Systems
MD04G1077800	ko04330	Notch signaling pathway	Environmental Information Processing
MD04G1077800	ko04110	Cell cycle	Cellular Processes
MD04G1077800	ko04919	Thyroid hormone signaling pathway	Organismal Systems
MD04G1077800	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD04G1077800	ko05200	Pathways in cancer	Human Diseases
MD04G1077800	ko05202	Transcriptional misregulation in cancer	Human Diseases
MD04G1077800	ko05203	Viral carcinogenesis	Human Diseases
MD04G1077800	ko05220	Chronic myeloid leukemia	Human Diseases
MD04G1077800	ko05016	Huntington disease	Human Diseases
MD04G1077800	ko05034	Alcoholism	Human Diseases
MD04G1077800	ko05169	Epstein-Barr virus infection	Human Diseases
